year,Médiane,Médiane privé,Médiane public,Chérie FM,Europe 1,France Bleu,France Culture,France Info,France Inter,France Musique,Fun Radio,MOUV,NRJ,Nostalgie,RFM,RMC,RTL,RTL 2,Radio Classique,Radio France Internationale,Rire et Chansons,Skyrock,Sud Radio,Virgin Radio
1995,25.02546479263141,,25.02546479263141,,,,27.09212063186317,21.151221437281258,22.95880895339965,33.70446746158472,,,,,,,,,,,,,,
1996,24.554082790326305,,24.554082790326305,,,,26.008343810592933,22.218233843071207,23.099821770059677,32.887788549368935,,,,,,,,,,,,,,
1997,24.984119359386987,,24.984119359386987,,,,26.550139724655647,21.15481587544825,23.91901004980429,26.049228668969686,,,,,,,,,,,,,,
1998,24.616994151732257,,24.616994151732257,,,,26.084155615191236,21.747265130571865,24.785493238275542,24.44849506518897,,,,,,,,,,,,,,
1999,26.515663222378258,,26.515663222378258,,,,26.980245128381174,23.015390735870557,27.146749649067647,26.051081316375345,,,,,,,,,,,,,,
2000,26.459052113873216,,26.459052113873216,,,,26.459052113873216,25.400682105428015,25.37928624863165,27.34910415881543,,,,,,,,,,29.16934801732124,,,,
2001,25.143717942352325,24.755523477796295,25.3486969310778,,22.16875997222843,34.29926437227061,24.840673921139473,25.24280474633724,25.45458911581836,18.594743624982247,25.044631138367407,,,27.475591254415445,,24.46641581722518,26.203042190671184,,,29.506999059621684,,17.937253323170253,,
2002,26.9827473677507,26.919549349758086,26.9827473677507,47.29117201457673,24.224481697067894,32.25470383477912,24.93384177436271,26.235336137603426,27.730158597897976,16.731520992725144,,,19.874868860483762,,33.513118375694226,25.6152903800988,28.223808319417376,30.958207862600375,,29.667621770670927,,18.665819532738297,,
2003,26.51127394865243,26.91405057402814,25.815099155270243,45.97808029029693,26.774724768858093,34.18956150471341,25.382375182093718,24.93756450288041,26.24782312844677,18.291654801747708,22.4155683436793,,20.768548781492466,30.32614450462666,34.10398601946708,25.760017146222687,27.05337637919818,31.15358776834874,,28.94721690773055,,18.60742558718175,,
2004,25.554208120215492,26.209427996799942,25.51204180177215,48.539451901784744,23.90688318175868,37.60616885764081,24.621280871717413,25.062869502898476,25.961214100645826,15.877890619708607,20.987012914776813,,21.1769675344101,29.20986404227584,33.80942524298347,25.147202139785158,27.271653853814726,33.21867056574858,,28.75090143341703,,17.747089991922095,,
2005,25.92743389149583,25.00358263655454,26.119561420331372,45.398778807184,23.943944228398852,38.13699873944565,23.78204228076443,26.447476102381323,25.791646738281425,20.77173896476626,18.745963444865005,,21.06553462206214,27.998533370526662,36.579873861180005,19.499647926819165,26.063221044710232,33.2495760374383,,30.850749394151705,,18.344659514345153,,
2006,26.858546508512557,26.251117708464953,27.575177995883276,47.81577690520746,25.622062562298716,43.44584794972121,25.295166297017502,28.140068392949523,27.01028759881703,22.521837898401586,32.360631211915454,,22.466660334438682,28.687135340682197,26.706805418208084,18.027239659966526,25.79542999872182,31.23816533256361,,31.147225656765325,,20.088053964674536,,
